"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2022Q3","20240","392843","4.4","1306","11.1","Goods-Producing","01","AL"
Alaska,"2022Q3","3820","42428","-4.4","1940","10.7","Goods-Producing","02","AK"
Arizona,"2022Q3","22891","421720","6.9","1510","6.7","Goods-Producing","04","AZ"
Arkansas,"2022Q3","13188","238745","4.4","1128","7.8","Goods-Producing","05","AR"
California,"2022Q3","154346","2771542","4.6","1734","4.8","Goods-Producing","06","CA"
Colorado,"2022Q3","31675","380540","3.0","1583","10.5","Goods-Producing","08","CO"
Connecticut,"2022Q3","14262","225939","2.1","1655","4.5","Goods-Producing","09","CT"
Delaware,"2022Q3","4382","51523","3.0","1367","8.1","Goods-Producing","10","DE"
District Of Columbia,"2022Q3","1422","16528","3.2","1680","6.7","Goods-Producing","11","DC"
Florida,"2022Q3","111242","1082306","4.8","1289","10.8","Goods-Producing","12","FL"
Georgia,"2022Q3","40754","656262","4.5","1307","8.6","Goods-Producing","13","GA"
Hawaii,"2022Q3","5714","55563","1.7","1429","7.8","Goods-Producing","15","HI"
Idaho,"2022Q3","18030","169342","6.2","1196","11.8","Goods-Producing","16","ID"
Illinois,"2022Q3","56294","845503","3.6","1539","8.2","Goods-Producing","17","IL"
Indiana,"2022Q3","28424","727107","3.7","1343","7.1","Goods-Producing","18","IN"
Iowa,"2022Q3","16963","332847","2.3","1307","10.7","Goods-Producing","19","IA"
Kansas,"2022Q3","13612","255235","4.0","1283","8.9","Goods-Producing","20","KS"
Kentucky,"2022Q3","18693","357434","5.2","1310","9.6","Goods-Producing","21","KY"
Louisiana,"2022Q3","20244","303734","3.4","1535","8.9","Goods-Producing","22","LA"
Maine,"2022Q3","9539","97409","0.1","1186","6.8","Goods-Producing","23","ME"
Maryland,"2022Q3","21613","282521","1.0","1551","9.3","Goods-Producing","24","MD"
Massachusetts,"2022Q3","30925","428219","2.4","1769","3.0","Goods-Producing","25","MA"
Michigan,"2022Q3","46914","841698","3.2","1392","7.2","Goods-Producing","26","MI"
Minnesota,"2022Q3","30186","501151","3.1","1526","6.7","Goods-Producing","27","MN"
Mississippi,"2022Q3","10693","208294","1.1","1121","8.2","Goods-Producing","28","MS"
Missouri,"2022Q3","26668","446472","5.0","1318","9.8","Goods-Producing","29","MO"
Montana,"2022Q3","11543","74100","6.7","1278","12.6","Goods-Producing","30","MT"
Nebraska,"2022Q3","12633","180187","3.8","1209","10.0","Goods-Producing","31","NE"
Nevada,"2022Q3","8766","192552","8.1","1451","7.5","Goods-Producing","32","NV"
New Hampshire,"2022Q3","7820","104137","2.9","1485","6.2","Goods-Producing","33","NH"
New Jersey,"2022Q3","34603","429352","3.8","1622","5.4","Goods-Producing","34","NJ"
New Mexico,"2022Q3","9867","111803","5.4","1266","12.4","Goods-Producing","35","NM"
New York,"2022Q3","71193","853856","2.6","1517","5.1","Goods-Producing","36","NY"
North Carolina,"2022Q3","48186","753615","3.2","1292","7.7","Goods-Producing","37","NC"
North Dakota,"2022Q3","6366","79130","7.2","1573","15.7","Goods-Producing","38","ND"
Ohio,"2022Q3","43562","952209","3.0","1358","8.3","Goods-Producing","39","OH"
Oklahoma,"2022Q3","18748","255093","3.9","1318","8.7","Goods-Producing","40","OK"
Oregon,"2022Q3","26829","367688","1.7","1423","10.7","Goods-Producing","41","OR"
Pennsylvania,"2022Q3","49671","883052","2.9","1405","6.0","Goods-Producing","42","PA"
Rhode Island,"2022Q3","5796","63411","2.7","1318","7.4","Goods-Producing","44","RI"
South Carolina,"2022Q3","23226","384713","4.9","1282","8.6","Goods-Producing","45","SC"
South Dakota,"2022Q3","6480","81155","4.2","1164","11.5","Goods-Producing","46","SD"
Tennessee,"2022Q3","24980","530707","6.3","1338","9.3","Goods-Producing","47","TN"
Texas,"2022Q3","107800","1992752","7.3","1641","9.1","Goods-Producing","48","TX"
Utah,"2022Q3","21593","301671","5.7","1302","10.0","Goods-Producing","49","UT"
Vermont,"2022Q3","4707","49693","1.4","1247","9.4","Goods-Producing","50","VT"
Virginia,"2022Q3","34658","472054","2.8","1344","10.9","Goods-Producing","51","VA"
Washington,"2022Q3","43157","616445","4.5","1459","7.8","Goods-Producing","53","WA"
West Virginia,"2022Q3","7051","100797","3.7","1411","10.4","Goods-Producing","54","WV"
Wisconsin,"2022Q3","26564","645196","1.8","1300","7.2","Goods-Producing","55","WI"
Wyoming,"2022Q3","5595","52275","3.0","1467","10.9","Goods-Producing","56","WY"
Puerto Rico,"2022Q3","6116","123998","5.5","690","10.4","Goods-Producing","72","PR"
Virgin Islands,"2022Q3","410","2541","-15.8","1263","-2.8","Goods-Producing","78","VI"
 
